INSTRUMENTO_ID,TIPO_IDENTIFICADOR,VALOR,DT_INICIO,DT_FIM,FONTE
1001,ISIN,BRPETRACNOR9,2010-01-01,,B3
1002,ISIN,BRPETRACNPR6,2010-01-01,,B3
2001,ISIN,BRTAEECDAM10,2024-01-02,,B3_COTAHIST_2024_2025
3001,ISIN,BRELETACNOR6,2024-01-02,2025-11-10,B3_COTAHIST_2024_2025
3001,ISIN,BRAXIAACNOR0,2025-11-10,,B3_COTAHIST_2024_2025
4001,ISIN,BRMGLUACNOR2,2024-01-02,,B3_COTAHIST_2024_2025
5002,ISIN,BRNTCOACNOR5,2024-01-02,2025-07-02,B3_COTAHIST_2024_2025
5003,ISIN,BRNATUACNOR6,2025-07-02,,B3
5004,ISIN,BRPATIACNOR6,2024-01-02,,B3_COTAHIST_2024_2025
5005,ISIN,BRPATIACNPR3,2024-01-05,,B3_COTAHIST_2024_2025
5006,ISIN,BRBIEDACNOR2,2024-11-26,,B3_COTAHIST_2024_2025
5007,ISIN,BRBBDCACNOR1,2024-01-02,,B3_COTAHIST_2024_2025
5008,ISIN,BRBBDCACNPR8,2024-01-02,,B3_COTAHIST_2024_2025
5009,ISIN,BRBBASACNOR3,2024-01-02,,B3_COTAHIST_2024_2025
5010,ISIN,BRBEESACNOR9,2024-01-02,,B3_COTAHIST_2024_2025
5011,ISIN,BRBEESACNPR6,2024-01-02,,B3_COTAHIST_2024_2025
5012,ISIN,BRBRSRACNOR3,2024-01-02,,B3_COTAHIST_2024_2025
5013,ISIN,BRBRSRACNPA6,2024-01-03,,B3_COTAHIST_2024_2025
5014,ISIN,BRBRSRACNPB4,2024-01-02,,B3_COTAHIST_2024_2025
5015,ISIN,BRBMEBACNOR8,2024-01-02,,B3_COTAHIST_2024_2025
5016,ISIN,BRBMEBACNPR5,2024-01-02,,B3_COTAHIST_2024_2025
5017,ISIN,BRBDLLACNOR1,2024-01-19,,B3_COTAHIST_2024_2025
5018,ISIN,BRBDLLACNPR8,2024-01-03,,B3_COTAHIST_2024_2025
5019,ISIN,BRBALMACNOR5,2024-01-12,,B3_COTAHIST_2024_2025
5020,ISIN,BRBALMACNPR2,2024-01-02,,B3_COTAHIST_2024_2025
5021,ISIN,BRCAMBACNOR4,2024-01-02,,B3_COTAHIST_2024_2025
5022,ISIN,BRRANIACNOR5,2024-01-02,,B3_COTAHIST_2024_2025
5023,ISIN,BRELETACNPA9,2024-01-09,2025-12-01,B3_COTAHIST_2024_2025
5023,ISIN,BRAXIAACNPA3,2025-12-01,,B3_COTAHIST_2024_2025
5024,ISIN,BRELETACNPB7,2024-01-02,2025-11-10,B3_COTAHIST_2024_2025
5024,ISIN,BRAXIAACNPB1,2025-11-10,,B3_COTAHIST_2024_2025
5025,ISIN,BRAXIAACNPC9,2025-12-22,,B3_COTAHIST_2024_2025
5026,ISIN,BRCMIGACNOR6,2024-01-02,,B3_COTAHIST_2024_2025
5027,ISIN,BRCMIGACNPR3,2024-01-02,,B3_COTAHIST_2024_2025
5028,ISIN,BRCLSCACNOR6,2024-01-02,,B3_COTAHIST_2024_2025
5029,ISIN,BRCLSCACNPR3,2024-01-02,,B3_COTAHIST_2024_2025
5030,ISIN,BRFESAACNOR8,2024-01-04,,B3_COTAHIST_2024_2025
5031,ISIN,BRFESAACNPR5,2024-01-02,,B3_COTAHIST_2024_2025
5032,ISIN,BRCEDOACNOR8,2024-01-02,,B3_COTAHIST_2024_2025
5033,ISIN,BRCEDOACNPR5,2024-01-02,,B3_COTAHIST_2024_2025
5034,ISIN,BRREDEACNOR7,2024-01-02,,B3_COTAHIST_2024_2025
5035,ISIN,BRHBTSACNPA3,2024-01-02,,B3_COTAHIST_2024_2025
5036,ISIN,BRMSPAACNOR0,2024-02-19,,B3_COTAHIST_2024_2025
5037,ISIN,BRMSPAACNPR7,2024-02-19,,B3_COTAHIST_2024_2025
5038,ISIN,BRGGBRACNOR1,2024-01-02,,B3_COTAHIST_2024_2025
5039,ISIN,BRGGBRACNPR8,2024-01-02,,B3_COTAHIST_2024_2025
5040,ISIN,BRCSNAACNOR6,2024-01-02,,B3_COTAHIST_2024_2025
5041,ISIN,BRCTSAACNOR3,2024-01-02,,B3_COTAHIST_2024_2025
5042,ISIN,BRCTSAACNPR0,2024-01-02,,B3_COTAHIST_2024_2025
5043,ISIN,BRCTKAACNOR0,2024-01-22,,B3_COTAHIST_2024_2025
5044,ISIN,BRCTKAACNPR7,2024-01-02,,B3_COTAHIST_2024_2025
5045,ISIN,BRVALEACNOR0,2024-01-02,,B3_COTAHIST_2024_2025
