INSTRUMENTO_ID,CD_CVM,TIPO_ATIVO,CLASSE,MOEDA,DT_INICIO,DT_FIM,STATUS,FONTE
1001,009512,ACAO,ON,BRL,2010-01-01,,ATIVO,B3_CVM_FIXTURE_VALIDADA
1002,009512,ACAO,PN,BRL,2010-01-01,,ATIVO,B3_CVM_FIXTURE_VALIDADA
2001,020257,UNIT,UNIT,BRL,2010-01-01,,ATIVO,B3_CVM_FIXTURE_VALIDADA
3001,002437,ACAO,ON,BRL,2010-01-01,,ATIVO,B3_CVM_FIXTURE_VALIDADA
4001,022470,ACAO,ON,BRL,2010-01-01,,ATIVO,B3_CVM_FIXTURE_VALIDADA
5001,019550,ACAO,ON,BRL,2010-01-01,2019-12-18,ENCERRADO,B3_CVM_FIXTURE_VALIDADA
5002,024783,ACAO,ON,BRL,2019-12-18,2025-07-02,ENCERRADO,B3_CVM_FIXTURE_VALIDADA
5003,019550,ACAO,ON,BRL,2025-07-02,,ATIVO,B3_CVM_FIXTURE_VALIDADA
5004,000094,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5005,000094,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5006,000701,ACAO,ON,BRL,2018-01-26,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5007,000906,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5008,000906,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5009,001023,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5010,001155,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5011,001155,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5012,001210,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5013,001210,ACAO,PNA,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5014,001210,ACAO,PNB,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5015,001325,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5016,001325,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5017,001520,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5018,001520,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5019,001562,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5020,001562,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5021,002100,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5022,002429,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5023,002437,ACAO,PNA,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5024,002437,ACAO,PNB,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5025,002437,ACAO,PNC,BRL,2025-12-22,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5026,002453,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5027,002453,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5028,002461,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5029,002461,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5030,003069,ACAO,ON,BRL,2011-01-05,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5031,003069,ACAO,PN,BRL,2011-01-05,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5032,003077,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5033,003077,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5034,003190,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5035,003298,ACAO,PNA,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5036,003654,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5037,003654,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5038,003980,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5039,003980,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5040,004030,ACAO,ON,BRL,2024-01-02,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5041,004081,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5042,004081,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5043,004146,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5044,004146,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5045,004170,ACAO,ON,BRL,2017-12-22,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5046,004537,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5047,004537,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5048,004669,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5049,004723,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5050,004820,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5051,004820,ACAO,PNA,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5052,004820,ACAO,PNB,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5053,005258,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5054,005312,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5055,005380,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5056,005380,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5057,005410,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5058,005762,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5059,005770,ACAO,ON,BRL,2012-07-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5060,005770,ACAO,PN,BRL,2012-07-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5061,006173,ACAO,ON,BRL,2011-07-08,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5062,006173,ACAO,PN,BRL,2011-07-08,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5063,006211,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5064,006343,ACAO,ON,BRL,2013-10-17,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5065,006505,ACAO,ON,BRL,2018-11-26,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5066,006700,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5067,007510,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5068,007544,ACAO,ON,BRL,2024-01-19,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5069,007544,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5070,007595,ACAO,ON,BRL,2015-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5071,007595,ACAO,PN,BRL,2024-01-02,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5072,007617,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5073,007617,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5074,007811,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5075,007870,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5076,008133,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5077,008192,ACAO,PN,BRL,2024-01-09,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5078,008397,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5079,008427,ACAO,ON,BRL,2024-01-11,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5080,008427,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5081,008451,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5082,008451,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5083,008575,ACAO,ON,BRL,2011-07-05,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5084,008656,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5085,008656,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5086,008672,ACAO,ON,BRL,2021-11-22,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5087,008672,ACAO,PN,BRL,2022-09-22,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5088,008672,UNIT,UNIT,BRL,2021-11-22,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5089,008753,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5090,008753,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5091,008893,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5092,009342,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5093,009393,ACAO,ON,BRL,2012-02-15,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5094,009539,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5095,009539,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5096,009989,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5097,010456,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5098,010456,ACAO,PN,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5099,010880,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5100,010880,ACAO,PNA,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5101,010880,ACAO,PNB,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
5102,011070,ACAO,ON,BRL,2010-01-01,,ATIVO,D4_UNIVERSO_2025_GATE|VIGENCIAS_D4_2025
