INSTRUMENTO_ID,BOLSA,TICKER,DT_INICIO,DT_FIM,STATUS,FONTE
1001,B3,PETR3,2010-01-01,,VIGENTE,B3_COTAHIST_FIXTURE
1002,B3,PETR4,2010-01-01,,VIGENTE,B3_COTAHIST_FIXTURE
2001,B3,TAEE11,2010-01-01,,VIGENTE,B3_COTAHIST_FIXTURE
3001,B3,ELET3,2010-01-01,2025-11-10,ENCERRADO,B3_COTAHIST_FIXTURE
3001,B3,AXIA3,2025-11-10,,VIGENTE,B3_COTAHIST_FIXTURE
4001,B3,MGLU3,2010-01-01,,VIGENTE,B3_COTAHIST_FIXTURE
5001,B3,NATU3,2010-01-01,2019-12-18,ENCERRADO,B3_COTAHIST_FIXTURE
5002,B3,NTCO3,2019-12-18,2025-07-02,ENCERRADO,B3_COTAHIST_FIXTURE
5003,B3,NATU3,2025-07-02,,VIGENTE,B3_COTAHIST_FIXTURE
5004,B3,PATI3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5005,B3,PATI4,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5006,B3,BIED3,2018-01-26,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5007,B3,BBDC3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5008,B3,BBDC4,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5009,B3,BBAS3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5010,B3,BEES3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5011,B3,BEES4,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5012,B3,BRSR3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5013,B3,BRSR5,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5014,B3,BRSR6,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5015,B3,BMEB3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5016,B3,BMEB4,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5017,B3,BDLL3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5018,B3,BDLL4,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5019,B3,BALM3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5020,B3,BALM4,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5021,B3,CAMB3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5022,B3,RANI3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5023,B3,ELET5,2010-01-01,2025-11-10,ENCERRADO,B3_COTAHIST_2025|FCA_DATA_INICIO|CONTINUIDADE_2025
5023,B3,AXIA5,2025-11-10,,VIGENTE,B3_COTAHIST_2025|EXCECAO_VALIDADA
5024,B3,ELET6,2010-01-01,2025-11-10,ENCERRADO,B3_COTAHIST_2025|FCA_DATA_INICIO|CONTINUIDADE_2025
5024,B3,AXIA6,2025-11-10,,VIGENTE,B3_COTAHIST_2025|EXCECAO_VALIDADA
5025,B3,AXIA7,2025-12-22,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5026,B3,CMIG3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5027,B3,CMIG4,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5028,B3,CLSC3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5029,B3,CLSC4,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5030,B3,FESA3,2011-01-05,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5031,B3,FESA4,2011-01-05,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5032,B3,CEDO3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5033,B3,CEDO4,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5034,B3,REDE3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5035,B3,HBTS5,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5036,B3,MSPA3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5037,B3,MSPA4,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5038,B3,GGBR3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5039,B3,GGBR4,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5040,B3,CSNA3,2024-01-02,,VIGENTE,B3_COTAHIST_2025|COTAHIST_2024_2025_ISIN_CONTINUIDADE
5041,B3,CTSA3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5042,B3,CTSA4,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5043,B3,CTKA3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5044,B3,CTKA4,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5045,B3,VALE3,2017-12-22,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5046,B3,CGRA3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5047,B3,CGRA4,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5048,B3,GUAR3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5049,B3,CALI3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5050,B3,BRKM3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5051,B3,BRKM5,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5052,B3,BRKM6,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5053,B3,RADL3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
5054,B3,MNDL3,2010-01-01,,VIGENTE,B3_COTAHIST_2025|FCA_DATA_INICIO
